ICOLD,Google
busan,busan
choongbuk,chungcheongbuk-do
choongnam,chungcheongnam-do
chungnam,chungcheongnam-do
daegu,daegu
daejeon,daejeon
gangwon,gangwon-do
geongnam,gyeongsangnam-do
gwangjunsi,gwangju
gyeonggi,gyeonggi-do
gyungbuk,gyeongsangbuk-do
gyunggi,gyeonggi-do
gyungnam,gyeongsangnam-do
incheon,incheon
jeju,jeju-do
jeonbuk,jeollabuk-do
jeonnam,jeollanam-do
junnam,jeollanam-do
kyoungki,gyeonggi-do
pusan,busan
sejong,sejong
seoul,seoul
ulsan,ulsan
ulsansi,ulsan
hwangbukdo,north hwanghae
ryanggangdo,ryanggang
kangwondo,kangwon
pyongyang,pyongyang
chagangdo,chagang
hamnamdo,south hamgyong
hambukdo,north hamgyong
nampo,nampo
kaesong,kaesong
hwangnamdo,south hwanghae
pyongnamdo,south pyongan
pyongbukdo,north pyongan
