AL,Montgomery,alabama
AK,Juneau,alaska
AZ,Phoenix,arizona
AR,Little Rock,arkansas
CA,Sacramento,california
CO,Denver,colorado
CT,Hartford,connecticut
DE,Dover,delaware
FL,Tallahassee,florida
GA,Atlanta,georgia
HI,Honolulu,hawaii
ID,Boise,idaho
IL,Springfield,illinois
IN,Indianapolis,indiana
IA,Des Moines,iowa
KS,Topeka,kansas
KY,Frankfort,kentucky
LA,Baton Rouge,louisiana
ME,Augusta,maine
MD,Annapolis,maryland
MA,Boston,massachussetts
MI,Lansing,michigan
MN,St. Paul,minnesota
MS,Jackson,mississippi
MO,Jefferson City,missouri
MT,Helena,montana
NE,Lincoln,nebraska
NV,Carson City,nevada
NH,Concord,new hampshire
NJ,Trenton,new jersey
NM,Santa Fe,new mexico
NY,Albany,new york
NC,Raleigh,north carolina
ND,Bismarck,north dakota
OH,Columbus,ohio
OK,Oklahoma City,oklahoma
OR,Salem,oregon
PA,Harrisburg,pennsylvania
RI,Providence,rhode island
SC,Columbia,south carolina
SD,Pierre,south dakota
TN,Nashville,tennessee
TX,Austin,texas
UT,Salt Lake City,utah
VT,Montpelier,vermont
VA,Richmond,virginia
WA,Olympia,washington
WV,Charleston,west virginia
WI,Madison,wisconsin
WY,Cheyenne,wyoming
